;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0006_1;IMG_0006;1575542986;2019-12-05 11:49:46.563440+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.2945;5676516.455;32631;0.023955848;0.077734407;-2.448882291;0.008328668;0.008317596;0.000464131;0.006271759;0.01062494;0.15378409;0.15378409;0.142960171;69.52790158;16.34386192;184.7554306
IMG_0006_2;IMG_0006;1575542986;2019-12-05 11:49:46.563440+00:00;0.00162;200;0.00162;2.8;24.19753086;646417.2945;5676516.455;32631;0.023955848;0.077734407;-2.448882291;0.006389364;0.006372674;0.000346874;0.004889313;0.008358891;0.127444937;0.127444937;0.118474869;69.52790158;16.34386192;184.7554306
IMG_0006_3;IMG_0006;1575542986;2019-12-05 11:49:46.563440+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.2945;5676516.455;32631;0.023955848;0.077734407;-2.448882291;0.006295987;0.006298193;0.000356223;0.004708207;0.008095465;0.111441568;0.111441568;0.10359788;69.52790158;16.34386192;184.7554306
IMG_0006_4;IMG_0006;1575542986;2019-12-05 11:49:46.563440+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.2945;5676516.455;32631;0.023955848;0.077734407;-2.448882291;0.007351316;0.007343619;0.000407636;0.005228762;0.009361542;0.066795464;0.066795464;0.06209414;69.52790158;16.34386192;184.7554306
IMG_0006_5;IMG_0006;1575542986;2019-12-05 11:49:46.563440+00:00;0.00135;800;0.00135;2.8;7.259259259;646417.2945;5676516.455;32631;0.023955848;0.077734407;-2.448882291;0.00506693;0.005065384;0.000419787;0.002896844;0.007856335;0.094968424;0.094968424;0.088284179;69.52790158;16.34386192;184.7554306
IMG_0007_1;IMG_0007;1575542996;2019-12-05 11:49:56.592550+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646418.0807;5676515.354;32631;0.024160774;0.077586407;-2.45270062;0.008570129;0.008558356;0.000475454;0.006423725;0.01078381;0.157504935;0.157504935;0.146476031;69.52099137;16.34168584;184.7956273
IMG_0007_2;IMG_0007;1575542996;2019-12-05 11:49:56.592550+00:00;0.00162;200;0.00162;2.8;24.19753086;646418.0807;5676515.354;32631;0.024160774;0.077586407;-2.45270062;0.006600369;0.006583512;0.000355784;0.005018354;0.008925964;0.130742319;0.130742319;0.121587403;69.52099137;16.34168584;184.7956273
IMG_0007_3;IMG_0007;1575542996;2019-12-05 11:49:56.592550+00:00;0.00162;400;0.00162;2.8;12.09876543;646418.0807;5676515.354;32631;0.024160774;0.077586407;-2.45270062;0.006538039;0.006540112;0.000364843;0.004920718;0.00852718;0.114962476;0.114962476;0.106912506;69.52099137;16.34168584;184.7956273
IMG_0007_4;IMG_0007;1575542996;2019-12-05 11:49:56.592550+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646418.0807;5676515.354;32631;0.024160774;0.077586407;-2.45270062;0.007645585;0.007638871;0.000417353;0.005816402;0.009702697;0.069007114;0.069007114;0.064175057;69.52099137;16.34168584;184.7956273
IMG_0007_5;IMG_0007;1575542996;2019-12-05 11:49:56.592550+00:00;0.00135;800;0.00135;2.8;7.259259259;646418.0807;5676515.354;32631;0.024160774;0.077586407;-2.45270062;0.005264639;0.005263031;0.000429769;0.002992979;0.007420174;0.098144178;0.098144178;0.091271868;69.52099137;16.34168584;184.7956273
